14.461963,-0.2741,0.9007,0.2342,0.97
14.512447,-0.1270,1.0589,0.1094,1.07
14.562432,-0.0505,1.2973,0.2942,1.33
14.612132,-0.0413,1.2228,0.0807,1.23
14.663146,0.0470,1.2266,-0.4278,1.30
14.712858,-0.1073,0.8568,-0.2603,0.90
14.762396,-0.0934,0.8234,0.0669,0.83
14.811718,-0.0960,1.1829,-0.0731,1.19
14.863540,-0.1585,0.9153,-0.0341,0.93
14.911672,-0.2022,0.7229,0.1558,0.77
14.963001,-0.2405,0.8637,0.1952,0.92
15.012464,-0.1441,0.8640,0.1292,0.89
15.064742,-0.0419,0.8908,0.1965,0.91
15.111792,-0.0383,0.9493,0.1319,0.96
15.162923,-0.2235,1.0549,0.2222,1.10
15.221110,-0.2622,1.4450,0.2445,1.49
15.262803,-0.2567,1.4474,-0.3609,1.51
15.320555,-0.0513,0.8098,-0.2333,0.84
15.370407,-0.1317,0.8296,0.1232,0.85
15.420697,-0.3946,1.1396,-0.0402,1.21
15.465832,-0.2028,0.8559,-0.1045,0.89
15.520627,0.0364,0.7519,0.2032,0.78
15.571078,-0.0273,0.8697,0.0906,0.87
15.620367,-0.0309,0.8901,0.0975,0.90
15.666156,-0.1261,0.9764,0.1914,1.00
15.720815,-0.2559,1.0882,0.2221,1.14
15.770081,0.0084,1.2014,0.2707,1.23
15.820899,-0.0588,1.5178,-0.1452,1.53
15.869753,-0.1911,1.1903,-0.4792,1.30
15.920870,-0.2098,0.7567,-0.1588,0.80
15.970113,-0.0831,0.8293,0.0124,0.83
16.019764,0.0034,0.9900,-0.1256,1.00
16.069443,-0.0912,0.8039,0.0107,0.81
16.120046,-0.1887,0.8114,0.1490,0.85
16.170113,-0.1994,0.9173,0.1851,0.96
16.220543,-0.1543,0.9126,0.1474,0.94
16.276353,-0.1220,0.8935,0.1992,0.92
16.319842,-0.0792,0.9267,0.1793,0.95
16.377505,-0.1596,1.0146,0.1991,1.05
16.420476,-0.1930,1.2232,0.2453,1.26
16.470757,-0.3222,1.3018,0.0071,1.34
16.520231,-0.2417,1.0907,-0.3977,1.19
16.570085,-0.0795,1.0138,-0.0685,1.02
16.623039,-0.3405,1.0443,0.1286,1.11
16.670754,-0.3147,0.9087,-0.0525,0.96
16.720078,-0.0601,0.6903,0.0426,0.69
16.775716,0.0330,0.8299,0.1348,0.84
16.820318,-0.0198,0.9005,0.0942,0.91
16.871909,-0.0768,0.8665,0.1405,0.88
16.928679,-0.2262,0.8966,0.2467,0.96
16.970870,-0.1724,0.9126,0.1897,0.95
17.028884,-0.1171,1.1906,0.2594,1.22
17.076598,-0.1435,1.2763,0.1840,1.30
17.128918,-0.0061,1.2641,-0.4154,1.33
17.178455,-0.2568,1.0573,-0.2995,1.13
17.228308,-0.0405,0.9870,0.1170,0.99
17.275663,0.1318,1.0166,0.0571,1.03
17.328701,-0.1258,0.7533,-0.1206,0.77
17.378115,-0.3233,0.7101,0.1620,0.80
17.428794,-0.3020,0.9226,0.2116,0.99
17.478395,-0.2195,0.9424,0.1383,0.98
17.528706,-0.0862,0.8738,0.2019,0.90
17.577420,0.0600,0.9339,0.1483,0.95
17.627926,-0.2549,1.0869,0.2026,1.13
17.678507,-0.3447,1.4871,0.0572,1.53
17.728612,-0.1692,1.2096,-0.2175,1.24
17.777881,-0.0197,1.0213,-0.2329,1.05
17.828085,-0.0285,0.8930,0.0995,0.90
17.878549,-0.3771,1.0089,-0.0183,1.08
17.928502,-0.2475,0.7993,-0.0174,0.84
17.978691,0.0396,0.7940,0.1249,0.80
18.028551,-0.0714,0.8746,0.1035,0.88
18.078497,-0.0799,0.8988,0.1206,0.91
18.128524,-0.1364,0.9143,0.2046,0.95
18.178922,-0.2186,0.9356,0.1928,0.98
18.229469,-0.0417,1.1774,0.2277,1.20
18.278424,-0.1042,1.2775,0.3307,1.32
18.328537,0.0154,1.3498,-0.5074,1.44
18.378320,-0.2473,1.1665,-0.6310,1.35
18.428380,-0.1352,0.7843,0.1113,0.80
18.479108,0.1478,0.9701,0.0433,0.98
18.528347,-0.1246,0.9573,-0.2814,1.01
18.586354,-0.3000,0.7923,0.1636,0.86
18.628134,-0.2218,0.9101,0.2132,0.96
18.681315,-0.1751,0.8813,0.1324,0.91
18.729339,-0.0760,0.8219,0.1788,0.84
18.785484,-0.0419,0.9002,0.1780,0.92
18.828797,-0.2038,0.9886,0.1601,1.02
18.886343,-0.2082,1.2912,0.2655,1.33
18.929886,-0.2110,1.3687,0.0674,1.39
18.986655,-0.2271,1.1033,-0.4346,1.21
19.036991,-0.0210,0.9107,-0.1081,0.92
19.086320,-0.4074,0.9892,0.1062,1.08
19.137172,-0.3381,0.9876,-0.1366,1.05
19.186502,-0.0341,0.6784,0.0378,0.68
19.237285,0.0132,0.7977,0.1179,0.81
19.287269,-0.0399,0.9783,0.0325,0.98
19.338612,-0.0755,0.8998,0.1255,0.91
19.386554,-0.1718,0.9483,0.1718,0.98
19.437678,-0.1412,1.0397,0.1857,1.07
19.486670,-0.0698,1.3156,0.0190,1.32
19.537184,-0.1852,1.6536,-0.2660,1.69
19.586552,-0.0573,0.8346,-0.2903,0.89
19.636997,-0.0586,0.7313,-0.1630,0.75
19.686626,-0.0695,1.0599,-0.1609,1.07
19.736164,0.0410,1.0460,-0.1342,1.06
19.787115,-0.1843,0.7237,-0.0031,0.75
19.836579,-0.2862,0.8053,0.0628,0.86
19.886224,-0.1161,0.9054,0.1155,0.92
19.936944,-0.0444,0.9175,0.1415,0.93
19.986463,-0.0850,0.9850,0.1239,1.00
20.037169,-0.1919,0.9668,0.1640,1.00
20.085673,-0.1749,1.1376,0.3128,1.19
20.137175,-0.1451,1.2401,0.1209,1.25
